Date,Price,Pid,Property_name,Area,Address,Neighboorhood
1/22/2021,55000000,"12,F2967",10 bedroom Duplex for sale Off college road Ogba Bus-stop Ogba Lagos,Ogba stop,Estate bustop Off college road Ogba Bus Stop Ogba Lagos,Ogba
1/22/2021,160000000,F4040,6 bedroom Duplex for sale Lekki Phase 1 Lekki Lagos,Lekki Phase,lekki phase Lekki Phase 1 Lekki Lagos,Lekki
1/22/2021,30000000,F7495,7 bedroom Duplex for sale Ikorodu Ikorodu Ikorodu Lagos,Ikorodu Ikorodu,Ikorodu Ikorodu Ikorodu Ikorodu Lagos,Ikorodu
1/22/2021,68000000,F7504,6 bedroom Duplex for sale Chevron drive chevron Lekki Lagos,Lekki chevron,Chevron round about Chevron drive Chevron Lekki Lagos,Lekki
1/22/2021,65000000,F9168,5 bedroom Duplex for sale Magodo Isheri Magodo Isheri Ojodu Lagos,Ojo Isheri,Magodo Magodo Isheri Magodo Isheri Ojodu Lagos,Ojo
1/22/2021,4500000,F8125,1 bedroom mini flat Flat / Apartment for sale New pan Atlantic university Free Trade Zone Ibeju-Lekki Lagos,Ibeju-Lekki Ibeju,New international airport New pan Atlantic university Free Trade Zone Ibeju-Lekki Lagos,Ibeju-Lekki
1/22/2021,12000000,F8464,3 bedroom Bungalow for sale Adikatu Oko oba Agege Lagos,Agege oba,Ada's Adikatu Oko Oba Agege Lagos,Agege
1/22/2021,55000000,F9169,5 bedroom Duplex for sale New oko oba Oko oba Agege Lagos,Agege oba,Oko oba New oko oba Oko Oba Agege Lagos,Agege
1/22/2021,280000000,F9554,1 bedroom mini flat Commercial Property for sale Opebi lane Opebi Ikeja Lagos,Ikeja Opebi,Opebi Opebi lane Opebi Ikeja Lagos,Ikeja
1/22/2021,600000,E9724,Land for sale Free Trade Zone Ibeju-Lekki Lagos,Ibeju-Lekki Ibeju,Heavenly homes estates Free Trade Zone Ibeju-Lekki Lagos,Ibeju-Lekki
1/22/2021,13000000,E9721,675.0 square meter Land for sale By lakowe lake and golf country estates Free Trade Zone Ibeju-Lekki Lagos,Ibeju-Lekki Ibeju,Oakwood gardens By lakowe lake and golf country estates Free Trade Zone Ibeju-Lekki Lagos,Ibeju-Lekki
1/22/2021,200000000,G3071,5 bedroom Duplex for sale Royal Garden estate Off Lekki-Epe Expressway Ajah Lagos,Ajah Expressway,lekki epe express way off the new Ajah jubilee bridge. Royal Garden estate Off Lekki Epe Expressway Ajah Lagos,Ajah
1/22/2021,60000000,G3069,4 bedroom Duplex for sale Crown Estate Ajah Lagos,Ajah Estate,Crown estate Crown Estate Ajah Lagos,Ajah
1/22/2021,30000000,G3068,2 bedroom Flat / Apartment for sale chevron Lekki Lagos,Lekki chevron,off chevron drive Chevron Lekki Lagos,Lekki
1/22/2021,37000000,G3066,3 bedroom Flat / Apartment for sale chevron Lekki Lagos,Lekki chevron,off chevron drive Chevron Lekki Lagos,Lekki
1/22/2021,37000000,G3064,3 bedroom Flat / Apartment for sale chevron Lekki Lagos,Lekki chevron,Off chevron drive Chevron Lekki Lagos,Lekki
1/22/2021,90000000,G3063,5 bedroom Duplex for sale chevron Lekki Lagos,Lekki chevron,Chevy View Estate Chevron Lekki Lagos,Lekki
1/22/2021,65000000,G3061,4 bedroom Duplex for sale chevron Lekki Lagos,Lekki chevron,Chevron drive Chevron Lekki Lagos,Lekki
1/22/2021,37000000,G3059,800.0 square meter Land for sale Lekki Phase 1 Lekki Lagos,Lekki Phase,fara park estate Lekki Phase 1 Lekki Lagos,Lekki
